x,y,z,intensity,color
-2.07394,24.231,-0.996307,0,blue
2.73842,21.623,-0.89291,0,yellow
2.44127,16.0735,-0.722936,0,yellow
2.40942,13.0391,-0.708607,0,yellow
2.25491,7.9875,-0.551702,0,yellow
2.15693,5.83606,-0.503199,0,yellow
2.20766,3.91146,-0.466594,0,yellow
2.19787,2.08298,-0.419914,0,yellow
-2.32232,6.31407,-0.53457,0,blue
2.35254,10.5497,-0.618134,0,yellow
-2.37615,10.5456,-0.660777,0,blue
-2.22845,16.0405,-0.833157,0,blue
2.65945,18.8348,-0.779322,0,yellow
2.86253,24.3752,-0.919781,0,yellow
2.75625,27.1513,-1.02277,0,yellow
-2.05114,29.8045,-1.11962,0,blue
-2.13774,35.3412,-1.32689,0,blue
2.59829,35.0495,-1.19445,0,yellow
-2.06036,32.4178,-1.21736,0,blue
-2.46757,38.0373,-1.42851,0,blue
2.00635,39.6623,-1.34967,0,yellow
-2.02751,27.0473,-1.11116,0,blue
-2.1187,21.4616,-0.883496,0,blue
-2.17509,13.2894,-0.739845,0,blue
-2.43083,8.6852,-0.602812,0,blue
-2.42796,3.94078,-0.473072,0,blue
-2.52439,2.24166,-0.450357,0,blue
-0.16326,2.16232,-0.435136,0,green
-0.0911736,6.2095,-0.528113,0,green
-1.48136,7.19259,-0.561031,0,green
0.621322,15.4555,-0.756773,0,green
0.832911,23.7684,-0.943053,0,green
-2.47618,3.09122,-0.461715,0,green
-0.230612,38.8498,-1.38909,0,green
-0.16326,2.16232,-0.435136,0,section
-0.0118053,10.5477,-0.639456,0,section
2.55036,17.4541,-0.751129,0,section
0.341157,25.6911,-1.00954,0,section
0.230271,35.1953,-1.26067,0,section
